logFC	logCPM	PValue	adj.p.value
MYL12A	1.55964	2.75905	1.05762e-38	1.14812e-33
TTN	1.15238	4.49057	4.82932e-35	2.40012e-30
PPARGC1A	1.18502	4.63633	6.63278e-35	2.40012e-30
LMOD2	1.50142	2.96718	5.79568e-31	1.5729e-26
YBX3	1.27669	4.55101	4.11055e-29	6.3747e-25
QKI	1.15728	4.25107	1.28108e-27	1.39071e-23
RBM24	1.39971	4.44406	2.49492e-27	2.46219e-23
SORT1	1.02527	4.16685	9.09197e-27	6.57998e-23
ASB5	1.31774	4.07918	1.30439e-26	8.85004e-23
TCF4	0.8462	5.7121	1.82581e-26	1.16591e-22
CPED1	0.909482	4.26776	4.013e-25	2.08559e-21
MEF2C	0.888602	4.0927	4.0345e-25	2.08559e-21
TRA2B	0.997601	4.12511	5.60009e-25	2.76331e-21
MYF6	1.24882	3.24919	6.9493e-25	3.27998e-21
ACSL1	0.893759	4.27704	7.86876e-25	3.5592e-21
MYPN	1.49328	3.31953	1.88434e-24	8.18232e-21
PLN	1.489	2.62421	3.64645e-24	1.52249e-20
SLN	1.37479	3.36619	9.32631e-24	3.74976e-20
MBNL1	1.06258	3.9954	9.86265e-24	3.82379e-20
YWHAE	1.07831	3.44206	1.12988e-23	4.22952e-20
VDAC3	1.02048	3.40528	1.36146e-23	4.92654e-20
ZBTB20	0.811709	5.14274	1.67687e-23	5.78995e-20
PFKM	1.05679	3.92471	1.84688e-23	5.89682e-20
NRAP	1.70575	2.53798	2.36008e-23	7.3201e-20
MYOT	1.41164	3.46767	3.37465e-23	1.01761e-19
MYOM1	0.985222	3.90642	4.85225e-23	1.42364e-19
FAM134B	1.17772	3.23306	5.85913e-23	1.67382e-19
MTUS1	0.879351	5.19811	1.52214e-22	3.90598e-19
KLHL41	1.41138	3.5598	1.54718e-22	3.90598e-19
CPEB4	1.2595	4.22725	1.83109e-22	4.51769e-19
ADHFE1	1.07906	3.58295	3.05615e-22	7.26809e-19
NR3C1	1.11226	4.17238	3.08346e-22	7.26809e-19
TXNIP	1.4109	3.67406	4.40963e-22	9.97283e-19
KIAA0408	0.993847	3.59239	4.88148e-22	1.05984e-18
CSDE1	1.12243	3.72531	5.16161e-22	1.09868e-18
SLC25A25	1.36596	3.67287	8.07723e-22	1.68623e-18
MYBPC1	1.06579	4.27003	1.27718e-21	2.56753e-18
RTN4	0.97448	4.3459	1.46615e-21	2.89383e-18
ZFAND5	1.28433	3.82539	1.56043e-21	2.97185e-18
ASB2	1.33943	4.09269	2.45981e-21	4.60396e-18
VGLL2	1.31364	3.19058	2.62949e-21	4.83813e-18
PALLD	0.701556	4.54759	5.49103e-21	9.17061e-18
KLHL24	0.977498	3.46434	1.00597e-20	1.62993e-17
NEB	0.834295	4.80405	1.76673e-20	2.77957e-17
PDLIM3	1.01267	4.02471	2.12841e-20	3.30077e-17
ARID5B	1.23822	3.85375	4.06385e-20	5.80473e-17
LRRC30	1.4414	2.83024	6.07035e-20	8.44845e-17
PGM1	1.0907	3.12051	7.25461e-20	9.96884e-17
MYL1	1.21261	3.46513	8.5251e-20	1.15682e-16
